City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,rio gallegos,-51.6226,-69.2181,53.65,62,40,12.66,AR,1669688196
233,okhotsk,59.3833,143.3,-0.22,86,100,14.14,RU,1669688197
234,narnaul,28.0444,76.1083,59.54,36,27,0.92,IN,1669688272
235,great falls,47.5002,-111.3008,10.67,78,100,6.91,US,1669688249
236,san jose,37.3394,-121.895,53.47,64,40,11.5,US,1669688312
237,deputatskiy,69.3,139.9,-28.89,98,100,2.24,RU,1669688348
238,zaraza,9.3503,-65.3245,72.81,98,99,4.76,VE,1669688349
239,almaznyy,48.0448,40.045,26.89,50,82,13.4,RU,1669688499
240,rocha,-34.4833,-54.3333,64.18,97,5,10.51,UY,1669688575
241,lac du bonnet,50.2536,-96.0612,24.13,84,100,10.18,CA,1669688650
242,prince george,53.9166,-122.753,9.84,70,0,13.8,CA,1669688543
243,richards bay,-28.783,32.0377,63.95,87,5,1.81,ZA,1669688726
244,am timan,11.0297,20.2827,73.2,24,99,9.13,TD,1669688726
245,jizan,17.3333,42.6667,76.14,67,3,4.83,SA,1669688727
246,hasaki,35.7333,140.8333,73.8,67,100,27.31,JP,1669688802
247,kasama,-10.2129,31.1808,61.75,91,100,2.86,ZM,1669688656
248,pangody,65.85,74.4859,8.82,95,100,8.97,RU,1669688878
249,srednekolymsk,67.45,153.6833,-13.04,99,100,9.62,RU,1669688879
250,kamina,-8.7386,24.9906,62.74,99,100,2.59,CD,1669689029
251,kahului,20.8947,-156.47,75.97,94,100,5.75,US,1669689105
252,te anau,-45.4167,167.7167,53.46,94,100,4.83,NZ,1669689180
253,podor,16.6527,-14.9587,73.54,22,95,9.44,MR,1669689256
254,aykhal,66.0,111.5,-24.56,100,99,4.38,RU,1669689332
255,mount isa,-20.7333,139.5,89.37,18,75,9.22,AU,1669689407
256,pringsewu,-5.3582,104.9744,86.13,63,100,5.73,ID,1669689482
257,camacha,33.0833,-16.3333,63.82,63,40,10.36,PT,1669689364
258,ikongo,-21.8833,47.4333,69.8,90,71,0.47,MG,1669689708
259,vernon,50.2581,-119.2691,23.61,73,47,2.3,CA,1669689784
260,medina,24.4686,39.6142,72.03,46,0,0.0,SA,1669689593
261,yar-sale,66.8333,70.8333,10.63,97,100,1.3,RU,1669689934
262,kondinskoye,59.6481,67.41,-0.94,87,82,6.91,RU,1669690010
263,maceio,-9.6658,-35.7353,76.44,88,75,3.44,BR,1669689982
264,prince rupert,54.3161,-130.3201,33.49,52,20,16.11,CA,1669690046
265,faya,18.3851,42.4509,51.91,57,0,2.59,SA,1669690236
266,galle,6.0367,80.217,79.65,77,99,1.77,LK,1669690311
267,ajdabiya,30.7554,20.2263,57.51,80,0,2.53,LY,1669690387
268,codrington,-38.2667,141.9667,60.75,59,100,14.34,AU,1669690462
269,severo-yeniseyskiy,60.3725,93.0408,-15.93,99,100,3.74,RU,1669690538
270,buluang,13.3068,123.3425,87.51,63,93,2.15,PH,1669690614
271,narsaq,60.9167,-46.05,31.89,99,100,1.3,GL,1669690765
272,kambove,-10.8764,26.5969,60.42,99,100,3.29,CD,1669690916
273,miramar,25.9873,-80.2323,78.82,82,0,4.61,US,1669690991
274,sambava,-14.2667,50.1667,71.89,84,0,6.13,MG,1669691066
275,antalaha,-14.9003,50.2788,71.11,82,0,4.59,MG,1669691142
276,fukue,32.6881,128.8419,69.28,90,92,14.18,JP,1669691217
277,ciudad bolivar,8.1222,-63.5497,76.39,86,100,9.69,VE,1669691293
278,shubarshi,48.5872,57.1869,21.52,50,100,13.42,KZ,1669691368
279,vaitape,-16.5167,-151.75,79.41,73,19,10.29,PF,1669691444
280,siddharthanagar,27.5,83.45,67.69,58,0,0.98,NP,1669691519
281,saldanha,-33.0117,17.9442,61.11,92,100,12.5,ZA,1669691595
282,makakilo city,21.3469,-158.0858,74.95,78,0,4.61,US,1669691670
283,kumluca,36.3703,30.2869,60.13,81,100,4.43,TR,1669691746
284,biltine,14.5333,20.9167,68.2,21,14,7.02,TD,1669691821
285,miles city,46.4083,-105.8406,16.77,67,20,16.11,US,1669691897
286,torbay,47.6666,-52.7314,45.57,95,100,27.63,CA,1669691972
287,jiuquan,39.7432,98.5174,5.95,39,100,9.37,CN,1669692123
288,kirgiz-miyaki,53.6324,54.7979,-4.77,96,56,3.47,RU,1669692198
289,necochea,-38.5473,-58.7368,72.95,52,100,18.61,AR,1669692274
290,brits,-25.6347,27.7802,61.92,88,6,9.93,ZA,1669692349
291,tarragona,41.129,1.249,53.44,63,0,10.36,ES,1669692500
292,omboue,-1.5746,9.2618,75.27,89,100,1.28,GA,1669692575
293,barra,-11.0894,-43.1417,70.23,94,100,1.79,BR,1669692651
294,mujiayingzi,42.1167,118.7833,6.58,25,43,22.41,CN,1669692726
295,general roca,-39.0333,-67.5833,80.62,29,16,18.99,AR,1669692802
296,muros,42.7762,-9.0603,50.09,95,99,2.17,ES,1669692877
297,imbituba,-28.24,-48.6703,72.86,92,100,7.52,BR,1669692953
298,takaungu,-3.6837,39.8566,77.52,84,22,2.35,KE,1669693028
299,lazaro cardenas,17.9583,-102.2,76.32,81,32,2.86,MX,1669693104
300,marzuq,14.4,46.4667,63.72,40,3,1.54,YE,1669693179
301,praia da vitoria,38.7333,-27.0667,68.25,83,75,25.39,PT,1669693255
302,bowen,-20.0167,148.2333,82.27,71,62,8.72,AU,1669693405
303,pendleton,45.6721,-118.7886,32.61,91,100,4.0,US,1669693481
304,shimoda,34.6667,138.95,71.96,79,97,21.56,JP,1669693556
305,niquero,20.0431,-77.5828,74.98,88,10,13.47,CU,1669693707
306,povenets,62.8487,34.8262,15.75,98,85,4.52,RU,1669693783
307,shu,43.5983,73.7614,28.38,73,100,5.06,KZ,1669693858
308,zaria,11.1113,7.7227,61.86,28,95,7.72,NG,1669693934
309,kolokani,13.5728,-8.0339,70.21,20,56,6.06,ML,1669694084
310,tura,25.5198,90.2201,75.22,52,0,1.28,IN,1669694160
311,northam,51.0333,-4.2167,46.38,83,17,6.62,GB,1669694310
312,bajil,15.0584,43.2851,75.96,67,8,1.99,YE,1669694386
313,morondava,-20.2833,44.2833,78.42,64,100,3.13,MG,1669694461
314,camopi,3.1655,-52.3158,71.56,99,100,2.53,GF,1669694537
315,pedernales,18.0384,-71.744,77.77,68,8,3.36,DO,1669694612
316,gasa,31.5,34.4667,62.89,59,100,4.12,PS,1669694688
317,manicore,-5.8092,-61.3003,75.15,87,47,2.1,BR,1669694763
318,jutai,-5.1833,-68.9,72.05,98,83,2.59,BR,1669694839
319,lethem,3.3803,-59.7968,74.62,94,100,3.78,GY,1669696124
320,salinopolis,-0.6136,-47.3561,78.91,82,85,8.52,BR,1669696199
321,friesoythe,53.0167,7.85,45.95,98,100,6.11,DE,1669696200
322,kamskiye polyany,55.4307,51.4171,9.41,99,76,3.47,RU,1669696200
323,maniitsoq,65.4167,-52.9,32.0,61,100,11.9,GL,1669696276
324,tombouctou,20.0,-3.0,60.42,24,61,10.65,ML,1669696351
325,mareeba,-17.0,145.4333,81.45,80,100,2.77,AU,1669696352
326,pisco,-13.7,-76.2167,68.05,77,40,5.75,PE,1669696352
327,sorland,67.667,12.6934,46.26,73,100,12.77,NO,1669696353
328,broome,42.2506,-75.833,34.86,86,100,5.01,US,1669696428
329,tabou,4.423,-7.3528,76.12,86,26,5.73,CI,1669696428
330,rio grande,-32.035,-52.0986,67.96,85,0,14.14,BR,1669696265
331,bathsheba,13.2167,-59.5167,79.41,83,40,13.8,BB,1669696429
332,chapais,49.7834,-74.8492,13.78,100,96,1.83,CA,1669696505
333,liku,-0.7275,119.8922,87.96,59,65,6.29,ID,1669696505
334,orlik,52.5178,99.825,-11.56,73,87,4.14,RU,1669696506
335,buchanan,5.8808,-10.0467,76.64,83,47,4.16,LR,1669696506
336,kununurra,-15.7667,128.7333,91.38,55,90,8.05,AU,1669696396
337,berbera,10.4396,45.0143,77.79,68,55,5.01,SO,1669696582
338,alta gracia,-31.6529,-64.4283,75.31,58,80,5.08,AR,1669696582
339,yatou,37.15,122.3833,34.65,58,99,26.24,CN,1669696658
340,buala,-8.145,159.5921,81.57,78,100,5.46,SB,1669696734
341,portimao,37.1386,-8.5378,48.11,84,12,7.87,PT,1669696734
342,burnie,-41.0667,145.9167,61.95,44,31,13.09,AU,1669696810
343,kavieng,-2.5744,150.7967,85.24,59,15,6.8,PG,1669696885
344,esso,55.9333,158.7,4.46,96,90,5.17,RU,1669696885
345,atherton,53.5237,-2.4935,42.3,96,6,0.29,GB,1669696886
346,esperance,-33.8667,121.9,70.7,52,0,16.67,AU,1669696886
347,tuatapere,-46.1333,167.6833,56.5,95,100,2.86,NZ,1669696962
348,hirara,24.8,125.2833,82.67,78,40,12.66,JP,1669696962
349,slave lake,55.2834,-114.769,6.78,78,100,10.36,CA,1669696963
350,pangnirtung,66.1451,-65.7125,-2.2,94,100,0.63,CA,1669696962
351,kaitangata,-46.2817,169.8464,59.25,75,100,7.23,NZ,1669696963
352,sinegorye,62.0788,150.477,-15.86,100,100,5.03,RU,1669697039
353,mount gambier,-37.8333,140.7667,63.59,52,82,9.89,AU,1669697039
354,poum,-20.2333,164.0167,81.55,79,73,16.44,NC,1669697039
355,kyzyl-suu,42.3414,78.0056,34.29,91,100,0.81,KG,1669697040
356,zhezkazgan,47.8043,67.7144,10.38,44,0,20.13,KZ,1669697115
357,molchanovo,57.5817,83.7692,-8.41,89,99,5.73,RU,1669697116
358,nedjo,9.5046,35.5019,63.3,74,68,2.1,ET,1669697116
359,chicama,-7.8447,-79.1469,64.94,84,99,3.02,PE,1669697116
360,hami,42.8,93.45,14.59,16,0,3.58,CN,1669697192
361,carballo,43.213,-8.691,51.51,94,100,3.31,ES,1669696926
362,andros town,24.7,-77.7667,78.76,77,24,12.03,BS,1669697192
363,bubaque,11.2833,-15.8333,80.15,59,7,5.75,GW,1669697193
364,provideniya,64.3833,-173.3,24.91,68,75,7.0,RU,1669697268
365,oranjemund,-28.55,16.4333,62.4,86,39,5.59,NA,1669697344
366,grindavik,63.8424,-22.4338,37.87,75,75,11.5,IS,1669697344
367,samarai,-10.6167,150.6667,84.87,71,82,4.99,PG,1669697345
368,bay roberts,47.5999,-53.2648,43.34,97,100,8.99,CA,1669697420
369,lufilufi,-13.8745,-171.5986,80.38,76,64,13.82,WS,1669697421
370,kampot,10.6167,104.1833,86.05,69,52,5.99,KH,1669697421
371,ueno,34.75,136.1333,64.18,84,98,2.55,JP,1669697422
372,kirakira,-10.4544,161.9205,81.39,78,98,4.72,SB,1669697497
373,novikovo,51.1537,37.8879,26.04,73,100,11.16,RU,1669697497
374,krasnyy yar,46.5331,48.3456,19.33,33,10,9.86,RU,1669697498
375,usinsk,65.9939,57.5281,3.42,98,97,8.28,RU,1669697574
376,adrar,20.5022,-10.0711,58.05,19,0,11.34,MR,1669697574
377,tawang,27.5833,91.8667,55.76,30,0,6.51,IN,1669697574
378,brewster,41.3973,-73.6171,39.18,86,11,3.62,US,1669697650
379,vila franca do campo,37.7167,-25.4333,69.19,93,100,18.12,PT,1669697651
380,shaoyang,27.2315,111.4525,49.41,74,100,9.17,CN,1669697651
381,uyar,55.81,94.3153,1.47,85,100,13.11,RU,1669697726
382,oistins,13.0667,-59.5333,78.89,83,40,13.8,BB,1669697727
383,isla mujeres,21.2311,-86.731,78.17,76,80,11.92,MX,1669697727
384,maldonado,-34.6667,-54.9167,68.23,94,2,11.88,UY,1669697803
385,isangel,-19.55,169.2667,83.7,75,79,11.45,VU,1669697803
386,saint george,37.1041,-113.5841,40.78,51,10,1.01,US,1669697804
