City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lavrentiya,65.5833,-171.0,21.63,86,100,10.0,RU,1669342119
84,xique-xique,-10.8218,-42.7263,78.6,62,100,2.95,BR,1669342120
85,cabedelo,-6.9811,-34.8339,79.47,81,7,11.14,BR,1669341918
86,palmer,42.1584,-72.3287,40.66,82,0,0.0,US,1669342121
87,bereda,43.2686,-7.5406,47.41,100,81,3.62,ES,1669342121
88,port alfred,-33.5906,26.891,63.18,79,100,4.0,ZA,1669342122
89,awjilah,29.1081,21.2869,65.08,77,99,8.72,LY,1669342122
90,hilo,19.7297,-155.09,73.26,94,100,14.97,US,1669341940
91,bredasdorp,-34.5322,20.0403,52.12,62,6,3.65,ZA,1669342123
92,zhengjiatun,43.5064,123.5064,44.73,56,57,19.35,CN,1669342123
93,katsuura,35.1333,140.3,61.29,61,47,15.43,JP,1669342124
94,talara,-4.5772,-81.2719,66.96,77,75,9.22,PE,1669342124
95,svetlogorsk,52.6333,29.7333,32.61,100,100,4.36,BY,1669342125
96,aswan,24.0934,32.907,62.96,37,0,6.93,EG,1669342125
97,krasnoselkup,65.7,82.4667,-30.87,97,6,7.78,RU,1669342126
98,comodoro rivadavia,-45.8667,-67.5,60.66,33,90,2.24,AR,1669341832
99,gao,16.6362,1.637,67.86,10,90,11.77,ML,1669342126
100,bugiri,0.5714,33.7417,64.67,89,93,3.91,UG,1669342127
101,margate,51.3813,1.3862,49.69,85,12,3.0,GB,1669342127
102,cabo san lucas,22.8909,-109.9124,73.71,73,75,6.91,MX,1669342027
103,barrow,71.2906,-156.7887,10.42,85,100,4.61,US,1669342128
104,kenai,60.5544,-151.2583,30.29,100,100,9.22,US,1669342129
105,bageshwar,29.85,79.7667,52.27,52,49,2.17,IN,1669342129
106,asau,46.4333,26.4,34.72,95,100,1.19,RO,1669342130
107,caucaia,-3.7361,-38.6531,80.55,76,40,8.05,BR,1669342130
108,cockburn town,21.4612,-71.1419,80.92,69,0,16.89,TC,1669342131
109,sobolevo,54.4299,31.8996,29.62,98,100,10.51,RU,1669342131
110,sur,22.5667,59.5289,73.62,44,7,1.19,OM,1669342132
111,srednekolymsk,67.45,153.6833,-17.36,97,100,3.76,RU,1669342132
112,waipawa,-41.4122,175.5153,56.77,62,25,4.05,NZ,1669342133
113,cidreira,-30.1811,-50.2056,65.57,77,0,6.13,BR,1669342133
114,sitka,57.0531,-135.33,39.09,75,75,18.41,US,1669342134
115,luwuk,-0.9516,122.7875,83.08,76,100,1.48,ID,1669342123
116,carmen,18.6333,-91.8333,80.64,83,0,8.05,MX,1669342134
117,vostok,46.4856,135.8833,24.93,93,100,4.52,RU,1669342135
118,nyurba,63.2842,118.3319,-35.97,100,93,2.59,RU,1669342136
119,yar-sale,66.8333,70.8333,-21.98,98,9,7.36,RU,1669342136
120,new norfolk,-42.7826,147.0587,57.92,73,100,1.99,AU,1669342137
121,mana,5.6592,-53.7767,76.28,92,100,7.61,GF,1669342137
122,hithadhoo,-0.6,73.0833,81.79,74,84,13.02,MV,1669342138
123,cherskiy,68.75,161.3,-11.85,97,100,4.36,RU,1669342138
124,port lincoln,-34.7333,135.8667,79.14,39,25,8.32,AU,1669342139
125,lebu,-37.6167,-73.65,54.63,80,100,18.21,CL,1669342139
126,russell,32.3502,-85.1999,63.97,72,100,5.75,US,1669342140
127,stornoway,58.2093,-6.3865,46.36,84,75,23.02,GB,1669342140
128,ixtapa,20.7,-105.2,74.43,69,0,4.61,MX,1669342124
129,severo-kurilsk,50.6789,156.125,33.62,63,100,10.67,RU,1669342141
130,clyde river,70.4692,-68.5914,-12.57,79,6,3.49,CA,1669341926
131,vila franca do campo,37.7167,-25.4333,63.01,76,70,17.13,PT,1669342142
132,husavik,66.0449,-17.3389,39.0,96,100,12.57,IS,1669342143
133,port hardy,50.6996,-127.4199,44.78,100,100,3.44,CA,1669342143
134,te anau,-45.4167,167.7167,54.97,57,100,6.58,NZ,1669342144
135,biak,-0.9131,122.8766,80.87,76,100,2.06,ID,1669342145
136,aykhal,66.0,111.5,-26.27,100,97,2.75,RU,1669342145
137,butaritari,3.0707,172.7902,80.17,77,100,5.59,KI,1669342146
138,bengkulu,-3.8004,102.2655,78.6,83,100,7.09,ID,1669342146
139,saint-philippe,-21.3585,55.7679,71.19,79,45,11.79,RE,1669342147
140,aktau,43.65,51.2,41.58,54,77,15.08,KZ,1669342147
141,bandarbeyla,9.4942,50.8122,76.44,79,19,7.83,SO,1669342148
142,kieta,-6.2167,155.6333,84.33,71,27,4.72,PG,1669342148
143,buraydah,26.326,43.975,67.51,30,26,11.34,SA,1669341862
144,hermanus,-34.4187,19.2345,49.8,59,6,5.66,ZA,1669342149
145,anadyr,64.75,177.4833,16.3,85,40,11.18,RU,1669342150
146,saint-augustin,51.226,-58.6502,23.43,74,93,24.0,CA,1669342150
147,tiksi,71.6872,128.8694,-26.46,99,81,8.41,RU,1669342151
148,torbay,47.6666,-52.7314,26.38,78,100,25.01,CA,1669342151
149,tanout,14.9709,8.8879,62.15,21,4,12.08,NE,1669342152
150,khatanga,71.9667,102.5,-23.4,94,100,15.88,RU,1669342153
151,the pas,53.8251,-101.2541,24.66,97,100,4.45,CA,1669341862
152,severnoye,56.3491,78.3619,-10.48,99,84,3.71,RU,1669342153
153,richards bay,-28.783,32.0377,69.91,90,100,11.65,ZA,1669342154
154,sao jose do rio preto,-20.8197,-49.3794,69.19,77,2,7.65,BR,1669342154
155,tigre,-34.426,-58.5796,78.26,48,0,13.8,AR,1669342155
156,san lorenzo,-25.3333,-57.5333,70.74,68,15,4.61,PY,1669342156
157,tabas,33.5959,56.9244,57.11,24,100,1.68,IR,1669342156
158,geraldton,-28.7667,114.6,73.81,49,40,9.22,AU,1669342157
159,carnarvon,-24.8667,113.6333,72.93,60,5,14.9,AU,1669342157
160,saint-francois,46.4154,3.9054,47.64,76,100,5.75,FR,1669342158
161,rio gallegos,-51.6226,-69.2181,50.05,46,75,6.91,AR,1669341992
162,nuuk,64.1835,-51.7216,25.88,68,100,10.0,GL,1669342159
163,montgomery,39.1501,-77.1997,49.59,64,0,6.91,US,1669342159
164,vila,42.0304,-8.1588,43.68,96,24,2.89,PT,1669342160
165,arumbavur,11.3833,78.7333,74.77,89,32,2.95,IN,1669342160
166,khorixas,-20.3667,14.9667,71.62,25,34,6.8,NA,1669342161
167,morehead,37.2711,-87.1764,54.0,66,100,0.0,US,1669342161
168,ahipara,-35.1667,173.1667,62.71,87,37,14.83,NZ,1669342162
169,karratha,-20.7377,116.8463,88.34,35,100,1.39,AU,1669342162
170,dejen,10.1667,38.1333,54.52,59,85,1.9,ET,1669342163
171,fortuna,40.5982,-124.1573,51.1,85,100,4.61,US,1669342164
172,kahului,20.8947,-156.47,75.22,68,75,21.85,US,1669342028
173,norman wells,65.282,-126.8329,8.04,94,100,8.14,CA,1669342165
174,maltahohe,-24.8333,16.9833,66.78,18,3,7.74,NA,1669342166
175,dunedin,-45.8742,170.5036,55.8,65,100,7.0,NZ,1669342166
176,mar del plata,-38.0023,-57.5575,58.95,83,61,3.0,AR,1669342167
177,quzhou,28.9594,118.8686,63.79,82,100,2.15,CN,1669342101
178,gunjur,13.2019,-16.7339,71.67,64,0,6.91,GM,1669342167
179,omboue,-1.5746,9.2618,74.61,96,100,4.41,GA,1669342168
